Entropy,LongestWord,SpecialCh,TotalLines,AverageChPerLine,ASTDepth,FunWithRisk,Result
1.0512314320887333,8,0.2559474979491386,1,1219,10,0,1
1.533948925889303,12,0.25379939209726443,61,32.36065573770492,24,4,1
0.9630586297406045,8,0.3326474622770919,1,1458,9,1,1
1.831595964976121,7,0.16624525916561314,1,1582,21,1,1
1.3709496513544774,18,0.18808193668528864,14,76.71428571428571,15,3,1
1.8350712693203557,7,0.1547148503670243,2,885.5,21,1,1
1.3256998912096045,13,0.2938337801608579,6,310.8333333333333,96,3,1
1.1057690210834867,8,0.3362676056338028,4,284,11,2,1
1.343503614735451,8,0.2096360840594567,1,1951,9,1,1
1.1518541432412173,9,0.2444577591372079,31,53.83870967741935,19,0,1
1.8350712693203557,7,0.1547148503670243,2,885.5,21,1,1
1.7913107985085541,12,0.2112810707456979,1,1046,22,10,1
1.0512314320887333,8,0.2559474979491386,1,1219,10,0,1
1.409392975765535,20,0.1891891891891892,1,1073,15,3,1
1.2395594215173529,9,0.34497444633730834,3,391.3333333333333,17,0,1
1.2998140386189683,8,0.23781818181818182,5,275,9,1,1
1.5675493782051382,14,0.23491271820448878,40,50.125,22,7,1
1.3704248999693873,18,0.18825722273998136,13,82.53846153846153,15,3,1
1.3831562745098833,20,0.18337850045167117,13,85.15384615384616,15,3,1
1.170747906661243,9,0.23985890652557318,32,53.15625,19,0,1
1.5578258856085814,18,0.22045264040234702,6,198.83333333333334,19,8,1
1.1722344553728776,13,0.10788177339901478,1,2030,16,2,1
0.9635789966999124,8,0.33222591362126247,1,1505,9,1,1
0.9635789966999124,8,0.33222591362126247,1,1505,9,1,1
1.169828148229829,13,0.1020307082714215,1,2019,16,2,1
1.2998140386189683,8,0.23781818181818182,5,275,9,1,1
1.2998140386189683,8,0.23781818181818182,5,275,9,1,1
1.2998140386189683,8,0.23781818181818182,5,275,9,1,1
1.311391786161925,8,0.24135280553420446,5,260.2,9,1,1
1.2998140386189683,8,0.23781818181818182,5,275,9,1,1
1.311391786161925,8,0.24135280553420446,5,260.2,9,1,1
1.311391786161925,8,0.24135280553420446,5,260.2,9,1,1
1.311391786161925,8,0.24135280553420446,5,260.2,9,1,1
1.3329688689673764,20,0.025796661608497723,1,1977,12,3,1
0.9649377857077092,8,0.33266932270916333,1,1506,9,1,1
1.311391786161925,8,0.24135280553420446,5,260.2,9,1,1
1.311391786161925,8,0.24135280553420446,5,260.2,9,1,1
1.311391786161925,8,0.24135280553420446,5,260.2,9,1,1
1.311391786161925,8,0.24135280553420446,5,260.2,9,1,1
1.311391786161925,8,0.24135280553420446,5,260.2,9,1,1
1.311391786161925,8,0.24135280553420446,5,260.2,9,1,1
1.311391786161925,8,0.24135280553420446,5,260.2,9,1,1
1.311391786161925,8,0.24135280553420446,5,260.2,9,1,1
1.311391786161925,8,0.24135280553420446,5,260.2,9,1,1
1.311391786161925,8,0.24135280553420446,5,260.2,9,1,1
1.311391786161925,8,0.24135280553420446,5,260.2,9,1,1
1.311391786161925,8,0.24135280553420446,5,260.2,9,1,1
1.311391786161925,8,0.24135280553420446,5,260.2,9,1,1
1.2998140386189683,8,0.23781818181818182,5,275,9,1,1
1.311391786161925,8,0.24135280553420446,5,260.2,9,1,1
1.311391786161925,8,0.24135280553420446,5,260.2,9,1,1
1.311391786161925,8,0.24135280553420446,5,260.2,9,1,1
1.311391786161925,8,0.24135280553420446,5,260.2,9,1,1
1.2998140386189683,8,0.23781818181818182,5,275,9,1,1
1.311391786161925,8,0.24135280553420446,5,260.2,9,1,1
1.2998140386189683,8,0.23781818181818182,5,275,9,1,1
1.2998140386189683,8,0.23781818181818182,5,275,9,1,1
1.2998140386189683,8,0.23781818181818182,5,275,9,1,1
0.9630586297406045,8,0.3326474622770919,1,1458,9,1,1
1.2998140386189683,8,0.23781818181818182,5,275,9,1,1
1.2998140386189683,8,0.23781818181818182,5,275,9,1,1
1.2998140386189683,8,0.23781818181818182,5,275,9,1,1
1.2998140386189683,8,0.23781818181818182,5,275,9,1,1
1.2998140386189683,8,0.23781818181818182,5,275,9,1,1
1.2998140386189683,8,0.23781818181818182,5,275,9,1,1
1.2998140386189683,8,0.23781818181818182,5,275,9,1,1
1.2998140386189683,8,0.23781818181818182,5,275,9,1,1
1.2998140386189683,8,0.23781818181818182,5,275,9,1,1
1.2998140386189683,8,0.23781818181818182,5,275,9,1,1
1.2998140386189683,8,0.23781818181818182,5,275,9,1,1
1.2998140386189683,8,0.23781818181818182,5,275,9,1,1
1.2998140386189683,8,0.23781818181818182,5,275,9,1,1
1.2998140386189683,8,0.23781818181818182,5,275,9,1,1
1.1722344553728776,13,0.10788177339901478,1,2030,16,2,1
1.169828148229829,13,0.1020307082714215,1,2019,16,2,1
1.2998140386189683,8,0.23781818181818182,5,275,9,1,1
1.1722344553728776,13,0.10788177339901478,1,2030,16,2,1
1.1518541432412173,9,0.2444577591372079,31,53.83870967741935,19,0,1
1.3684927968321599,19,0.18773234200743494,13,82.76923076923077,15,3,1
1.1703999932144307,13,0.10583047525722684,1,2041,16,2,1
0.9649377857077092,8,0.33266932270916333,1,1506,9,1,1
1.3684927968321599,19,0.18773234200743494,13,82.76923076923077,15,3,1
0.9649377857077092,8,0.33266932270916333,1,1506,9,1,1
1.3684927968321599,19,0.18773234200743494,13,82.76923076923077,15,3,1
1.3684927968321599,19,0.18773234200743494,13,82.76923076923077,15,3,1
1.3684927968321599,19,0.18773234200743494,13,82.76923076923077,15,3,1
1.3684927968321599,19,0.18773234200743494,13,82.76923076923077,15,3,1
1.1703999932144307,13,0.10583047525722684,1,2041,16,2,1
0.7913047708871859,12,0.3307356608478803,1,22456,9,2,1
1.732716844840224,12,0.46403731508059176,14,2588,24,5,1
1.1722344553728776,13,0.10788177339901478,1,2030,16,2,1
0.7913047708871859,12,0.3307356608478803,1,22456,9,2,1
1.6383016301144595,20,0.2678739757813067,275,200.59636363636363,57,97,1
1.5943465410026154,22,0.28967045139850456,624,34.72115384615385,37,34,1
1.7154269004708327,25,0.24226593905967803,54,953.574074074074,47,54,1
0.7913047708871859,12,0.3307356608478803,1,22456,9,2,1
1.5988653968909037,29,0.24760827789070575,2,72071.5,65,353,1
0.7913047708871859,12,0.3307356608478803,1,22456,9,2,1
1.5988653968909037,29,0.24760827789070575,2,72071.5,65,353,1
1.1508133090624555,8,0.33389544688026984,4,148.25,9,1,1
1.3968261368124397,14,0.21212121212121213,1,462,17,2,1
1.5289984631393265,8,0.21614583333333334,4,96,7,1,1
1.5289984631393265,8,0.21614583333333334,4,96,7,1,1
